Tempo;Entrada;Saida;
903132158;3.164981;2.000000;
903232133;3.159468;2.000000;
903332123;3.174385;2.000000;
903432165;3.160765;2.000000;
903532170;3.150712;2.000000;
903632158;3.176979;2.000000;
903732155;3.180222;2.000000;
903832172;3.146172;2.000000;
903932153;3.153955;2.000000;
904032148;3.163359;2.000000;
904132127;3.149415;2.000000;
904232155;3.147794;2.000000;
904332196;3.184114;2.000000;
904432173;3.157522;2.000000;
904532162;3.158495;2.000000;
904632129;3.168872;2.000000;
904732159;3.158495;2.000000;
904832164;3.170494;2.000000;
904932125;3.126391;2.000000;
905032184;3.163684;2.000000;
905132157;3.186059;2.000000;
905232154;3.157846;2.000000;
905332182;3.155901;2.000000;
905432187;3.156549;2.000000;
905532188;3.152334;2.000000;
905632191;3.147794;2.000000;
905732257;3.179574;2.000000;
905832170;3.159792;2.000000;
905932163;3.144875;2.000000;
906032169;3.101421;2.000000;
906132159;3.122175;2.000000;
906232154;3.206489;2.000000;
906332174;3.134822;2.000000;
906432177;3.144226;2.000000;
906532191;3.149415;2.000000;
906632201;3.160116;2.000000;
906732166;3.181195;2.000000;
906832167;3.148118;2.000000;
906932178;3.149415;2.000000;
907032170;3.171466;2.000000;
907132182;3.175358;2.000000;
907232214;3.151361;2.000000;
907332186;3.184438;2.000000;
907432177;3.187356;2.000000;
907532177;3.186059;2.000000;
907632206;3.179574;2.000000;
907732198;3.165629;2.000000;
907832200;3.164981;2.000000;
907932230;3.155576;2.000000;
908032208;3.179249;2.000000;
908132197;3.134174;2.000000;
908232192;3.175034;2.000000;
908332227;3.164332;2.000000;
908432201;3.160765;2.000000;
908532188;3.164981;2.000000;
908632188;3.178276;2.000000;
908732184;3.185411;2.000000;
908832166;3.147145;2.000000;
908932209;3.170494;2.000000;
909032188;3.174061;2.000000;
909132206;3.145848;2.000000;
909232202;3.164332;2.000000;
909332194;3.159144;2.000000;
909432220;3.181195;2.000000;
909532226;3.151685;2.000000;
909632208;3.166278;2.000000;
909732225;3.121526;2.000000;
909832231;3.178925;2.000000;
909932255;3.186708;2.000000;
910032235;3.137092;2.000000;
910132233;3.163359;2.000000;
910232230;3.132552;2.000000;
910332235;3.156874;2.000000;
910432239;3.169196;2.000000;
910532224;3.166602;2.000000;
910632206;3.170494;2.000000;
910732230;3.194815;2.000000;
910832208;3.185735;2.000000;
910932237;3.199679;2.000000;
911032227;3.198382;2.000000;
911132234;3.180871;2.000000;
911232236;3.198382;2.000000;
911332235;3.208111;2.000000;
911432224;3.129958;2.000000;
911532213;3.159144;2.000000;
911632208;3.164332;2.000000;
911732230;3.169845;2.000000;
911832240;3.190924;2.000000;
911932215;3.185735;2.000000;
912032239;3.147145;2.000000;
912132222;3.164656;2.000000;
912232217;3.168548;2.000000;
912332224;3.162711;2.000000;
912432229;3.177952;2.000000;
912532250;3.157846;2.000000;
912632246;3.175358;2.000000;
912732251;3.161738;2.000000;
912832256;3.149739;2.000000;
912932224;3.147145;2.000000;
913032218;3.192545;2.000000;
913132235;3.168548;2.000000;
913232220;3.176331;2.000000;
913332204;3.139038;2.000000;
913432238;3.149415;2.000000;
913532214;3.170169;2.000000;
913632212;3.178925;2.000000;
913732250;3.180871;2.000000;
913832277;3.166926;2.000000;
913932244;3.153631;2.000000;
914032258;3.187356;8.000000;
914132259;3.194166;8.000000;
914232272;3.211678;8.000000;
914332251;3.178601;8.000000;
914432254;3.202274;8.000000;
914532297;3.172115;8.000000;
914632250;3.186708;8.000000;
914732197;3.179574;8.000000;
914832272;3.181519;8.000000;
914932260;3.204868;8.000000;
915032258;3.178925;8.000000;
915132272;3.185411;8.000000;
915232247;3.178601;8.000000;
915332248;3.192545;8.000000;
915432297;3.195788;8.000000;
